FolderID,SNR,BER,RMSE,CFO_Est
1,29.780766,0.000007,0.054112,3.363465e-03
2,29.996219,0.000002,0.052385,3.355234e-03
3,29.909689,0.000003,0.049903,3.350088e-03
4,29.931112,0.000004,0.047337,3.346329e-03
5,30.079182,0.000003,0.057191,3.340805e-03
6,30.049065,0.000002,0.052135,3.336132e-03
7,30.165351,0.000004,0.049870,3.332914e-03
8,30.158304,0.000005,0.051160,3.332199e-03
9,30.252739,0.000001,0.048279,3.328450e-03
10,30.067665,0.000001,0.046013,3.324189e-03
11,29.965837,0.000007,0.050704,3.319902e-03
12,30.319405,0.000001,0.042523,3.316014e-03
13,30.336359,0.000001,0.050833,3.315486e-03
14,30.303073,0.000016,0.051366,3.312650e-03
15,30.090945,0.000014,0.053494,3.312626e-03
16,30.244617,0.000001,0.046863,3.311317e-03
17,30.448341,0.000001,0.052497,3.309426e-03
18,30.497262,0.000001,0.047142,3.307310e-03
19,30.485350,0.000005,0.045872,3.304549e-03
20,30.531205,0.000001,0.041315,3.305312e-03
FolderID,SNR,BER,RMSE,CFO_Est
1,29.780766,0.000006,0.053489,3.363465e-03
2,29.996219,0.000002,0.052422,3.355234e-03
3,29.909689,0.000003,0.049993,3.350088e-03
4,29.931112,0.000004,0.046922,3.346329e-03
5,30.079182,0.000003,0.057568,3.340805e-03
6,30.049065,0.000003,0.052155,3.336132e-03
7,30.165351,0.000004,0.050058,3.332914e-03
8,30.158304,0.000005,0.051277,3.332199e-03
9,30.252739,0.000001,0.048428,3.328450e-03
10,30.067665,0.000001,0.046550,3.324189e-03
11,29.965837,0.000008,0.050830,3.319902e-03
12,30.319405,0.000001,0.042532,3.316014e-03
13,30.336359,0.000001,0.051199,3.315486e-03
14,30.303073,0.000016,0.051304,3.312650e-03
15,30.090945,0.000014,0.052662,3.312626e-03
16,30.244617,0.000002,0.047025,3.311317e-03
17,30.448341,0.000002,0.052764,3.309426e-03
18,30.497262,0.000001,0.047528,3.307310e-03
19,30.485350,0.000005,0.045909,3.304549e-03
20,30.531205,0.000001,0.041417,3.305312e-03
FolderID,SNR,BER,RMSE,CFO_Est
1,20.642357,0.243775,0.322759,3.407083e-03
FolderID,SNR,BER,RMSE,CFO_Est
1,25.479751,0.136120,0.209177,3.347098e-03
FolderID,SNR,BER,RMSE,CFO_Est
1,25.396499,0.002863,0.208552,3.314464e-03
FolderID,SNR,BER,RMSE,CFO_Est
1,25.541257,0.002384,0.171976,3.314470e-03
